R,4947,,D,10357,,I,1742,,R,4947,,,,,
R,11565,,D,3684,,I,149654,,R,11565,,,,,
R,2649,,D,2130,,,,,R,2649,,,,,
R,24929,,D,25174,,,,,R,24929,,,,,
R,2143,,D,2918,,,,,R,2143,,,,,
R,5786,,D,27829,,,,,R,5786,,,,,
R,10844,,D,4501,,,,,R,10844,,,only for R vs. D,,
D,10357,,D,3583,,,,,R,23410,,,,,
D,3684,,D,6641,,,,,R,468004,,,p-value,0.150373503,"(two-tail, assumed different standard deviations)"
D,2130,,D,1104,,,,,R,7951,,,,,
R,23410,,D,4953,,,,,R,18185,,,,,
R,468004,,D,14784,,,,,R,12721,,,,,
D,25174,,D,10862,,,,,R,8275,,,,,
R,7951,,D,10313,,,,,R,3789,,,,,
D,2918,,D,16430,,,,,R,10778,,,,,
D,27829,,D,8972,,,,,R,582,,,,,
R,18185,,D,1540,,,,,R,2378,,,,,
D,4501,,D,993,,,,,R,175742,,,,,
R,12721,,D,1471,,,,,R,7788,,,,,
D,3583,,D,880,,,,,R,12600,,,,,
R,8275,,D,4922,,,,,R,8079,,,,,
R,3789,,D,14860,,,,,R,9965,,,,,
D,6641,,D,6337,,,,,R,4055,,,,,
R,10778,,D,2795,,,,,R,7990,,,,,
R,582,,D,16736,,,,,R,5651,,,,,
D,1104,,D,7127,,,,,R,4611,,,,,
D,4953,,D,3882,,,,,R,3757,,,,,
R,2378,,D,3808,,,,,R,778,,,,,
R,175742,,D,3694,,,,,R,902,,,,,
R,7788,,D,740,,,,,R,1437,,,,,
D,14784,,D,6667,,,,,R,706,,,,,
R,12600,,D,4210,,,,,R,2575,,,,,
R,8079,,D,4482,,,,,R,12167,,,,,
R,9965,,D,6615,,,,,R,3170,,,,,
D,10862,,D,5794,,,,,R,5096,,,,,
D,10313,,D,10227,,,,,R,8809,,,,,
R,4055,,D,5571,,,,,R,2177,,,,,
D,16430,,D,4266,,,,,R,62467,,,,,
R,7990,,D,5157,,,,,R,3352,,,,,
R,5651,,D,4075,,,,,R,2904,,,,,
R,4611,,D,313,,,,,R,22362,,,,,
R,3757,,D,1437,,,,,R,5517,,,,,
D,8972,,D,643,,,,,R,142391,,,,,
D,1540,,D,7211,,,,,R,5530,,,,,
D,993,,D,4788,,,,,R,4469,,,,,
R,778,,D,7224,,,,,R,8317,,,,,
R,902,,D,7653,,,,,R,3362,,,,,
R,1437,,D,6471,,,,,R,40188,,,,,
R,706,,D,6174,,,,,R,2252,,,,,
D,1471,,D,5159,,,,,R,3300,,,,,
D,880,,D,25276,,,,,R,15006,,,,,
R,2575,,D,5864,,,,,R,36428,,,,,
R,12167,,D,5252,,,,,R,9456,,,,,
D,4922,,D,677,,,,,R,3897,,,,,
D,14860,,D,605,,,,,R,519,,,,,
D,6337,,D,1358,,,,,R,449,,,,,
R,3170,,D,2780,,,,,R,244,,,,,
R,5096,,D,4445,,,,,R,940,,,,,
D,2795,,D,41199,,,,,R,623,,,,,
D,16736,,D,9879,,,,,R,42669,,,,,
R,8809,,D,260,,,,,R,4373,,,,,
R,2177,,D,1061,,,,,R,3525,,,,,
R,62467,,D,4002,,,,,R,7519,,,,,
R,3352,,D,6917,,,,,R,6270,,,,,
D,7127,,D,16245,,,,,R,3457,,,,,
D,3882,,D,598,,,,,R,758,,,,,
R,2904,,D,7111,,,,,R,784,,,,,
R,22362,,D,676,,,,,R,1280,,,,,
D,3808,,D,3098,,,,,R,1975,,,,,
D,3694,,D,21645,,,,,R,7949,,,,,
R,5517,,D,8806,,,,,R,17109,,,,,
R,142391,,D,3449,,,,,R,9580,,,,,
R,5530,,D,6779,,,,,R,8980,,,,,
R,4469,,D,764,,,,,R,7194,,,,,
R,8317,,D,628,,,,,R,9406,,,,,
R,3362,,D,10824,,,,,R,3331,,,,,
R,40188,,D,3030,,,,,R,6450,,,,,
D,740,,D,29430,,,,,R,2943,,,,,
D,6667,,D,9580,,,,,R,3546,,,,,
R,2252,,D,8704,,,,,R,4496,,,,,
D,4210,,D,6785,,,,,R,5245,,,,,
R,3300,,D,852,,,,,R,1827,,,,,
D,4482,,D,9149,,,,,R,7024,,,,,
D,6615,,D,14044,,,,,R,36472,,,,,
D,5794,,D,3268,,,,,R,5102,,,,,
D,10227,,D,2571,,,,,R,67125,,,,,
R,15006,,D,470,,,,,R,839,,,,,
D,5571,,D,1386,,,,,R,5737,,,,,
R,36428,,D,458,,,,,R,10632,,,,,
R,9456,,D,1407,,,,,R,9077,,,,,
D,4266,,D,10098,,,,,R,6102,,,,,
D,5157,,D,6766,,,,,R,2716,,,,,
D,4075,,D,5705,,,,,R,4289,,,,,
D,313,,D,5723,,,,,R,2877,,,,,
R,3897,,D,6913,,,,,R,6400,,,,,
D,1437,,D,1040,,,,,R,11319,,,,,
D,643,,D,4165,,,,,R,7184,,,,,
D,7211,,D,814,,,,,R,3740,,,,,
R,519,,D,2796,,,,,R,3145,,,,,
R,449,,D,3246,,,,,R,1789,,,,,
R,244,,D,2297,,,,,R,5005,,,,,
R,940,,D,556,,,,,R,8113,,,,,
R,623,,D,1021,,,,,R,5385,,,,,
R,42669,,D,10793,,,,,R,8545,,,,,
D,4788,,D,11084,,,,,R,3866,,,,,
D,7224,,D,9647,,,,,R,921,,,,,
D,7653,,D,6962,,,,,R,4019,,,,,
D,6471,,D,20497,,,,,R,4159,,,,,
D,6174,,D,2672,,,,,R,3258,,,,,
D,5159,,D,4637,,,,,R,5410,,,,,
D,25276,,D,7399,,,,,R,4927,,,,,
R,4373,,D,9008,,,,,R,4175,,,,,
D,5864,,D,5735,,,,,R,3822,,,,,
D,5252,,D,6093,,,,,R,2141,,,,,
R,3525,,D,1735,,,,,R,622,,,,,
R,7519,,D,1754,,,,,R,1182,,,,,
R,6270,,D,688,,,,,R,7189,,,,,
R,3457,,D,5463,,,,,R,80078,,,,,
D,677,,D,777,,,,,R,1734,,,,,
R,758,,D,621,,,,,R,7919,,,,,
R,784,,D,4806,,,,,R,13142,,,,,
D,605,,D,14193,,,,,R,9397,,,,,
R,1280,,D,4349,,,,,R,5669,,,,,
D,1358,,D,7177,,,,,R,3966,,,,,
D,2780,,D,6984,,,,,R,13689,,,,,
D,4445,,D,3310,,,,,R,965,,,,,
R,1975,,D,24688,,,,,R,12496,,,,,
D,41199,,D,17446,,,,,R,7676,,,,,
D,9879,,D,8821,,,,,R,17001,,,,,
R,7949,,D,7807,,,,,R,14487,,,,,
D,260,,D,12497,,,,,R,4689,,,,,
D,1061,,D,5260,,,,,R,658,,,,,
D,4002,,D,6449,,,,,R,6059,,,,,
D,6917,,D,2646,,,,,R,8149,,,,,
D,16245,,D,6122,,,,,R,3172,,,,,
R,17109,,D,7883,,,,,R,1048,,,,,
R,9580,,D,4421,,,,,R,11536,,,,,
R,8980,,D,1618,,,,,R,7024,,,,,
R,7194,,D,3972,,,,,R,4868,,,,,
R,9406,,D,562,,,,,R,6985,,,,,
R,3331,,D,18173,,,,,R,25131,,,,,
D,598,,D,10873,,,,,R,367,,,,,
D,7111,,D,695,,,,,R,1798403,,,,,
R,6450,,D,1082,,,,,R,13891,,,,,
R,2943,,D,481,,,,,R,10106,,,,,
R,3546,,D,4474,,,,,R,9765,,,,,
R,4496,,D,1504,,,,,R,2372,,,,,
R,5245,,D,29000,,,,,R,6641,,,,,
D,676,,D,779,,,,,R,3863,,,,,
R,1827,,D,9051,,,,,R,15964,,,,,
R,7024,,D,3670,,,,,R,10336,,,,,
R,36472,,D,484,,,,,R,4333,,,,,
R,5102,,D,2644,,,,,R,8996,,,,,
R,67125,,D,8721,,,,,R,14279,,,,,
D,3098,,D,2274,,,,,R,34831,,,,,
D,21645,,D,320304,,,,,R,5829,,,,,
R,839,,D,4276,,,,,R,3443,,,,,
R,5737,,D,4604,,,,,R,3315,,,,,
R,10632,,D,6651,,,,,R,3294,,,,,
D,8806,,D,3449,,,,,R,4842,,,,,
R,9077,,D,17603,,,,,R,1177,,,,,
D,3449,,D,8243,,,,,R,806,,,,,
D,6779,,D,726,,,,,R,1151,,,,,
R,6102,,D,322,,,,,R,103,,,,,
R,2716,,D,333,,,,,R,7097,,,,,
R,4289,,D,7188,,,,,R,10298,,,,,
